2022-03-20 20:14:21,386 INFO    MainThread:9577 [wandb_setup.py:_flush():75] Loading settings from /home/ido/.config/wandb/settings
2022-03-20 20:14:21,387 INFO    MainThread:9577 [wandb_setup.py:_flush():75] Loading settings from /home/ido/projects/MNIST_comparison/wandb/settings
2022-03-20 20:14:21,387 INFO    MainThread:9577 [wandb_setup.py:_flush():75] Loading settings from environment variables: {}
2022-03-20 20:14:21,387 INFO    MainThread:9577 [wandb_setup.py:_flush():75] Inferring run settings from compute environment: {'program_relpath': 'train_convnet.py', 'program': '/home/ido/projects/MNIST_comparison/train_convnet.py'}
2022-03-20 20:14:21,387 INFO    MainThread:9577 [wandb_init.py:_log_setup():405] Logging user logs to /home/ido/projects/MNIST_comparison/wandb/run-20220320_201421-32nqw6c5/logs/debug.log
2022-03-20 20:14:21,387 INFO    MainThread:9577 [wandb_init.py:_log_setup():406] Logging internal logs to /home/ido/projects/MNIST_comparison/wandb/run-20220320_201421-32nqw6c5/logs/debug-internal.log
2022-03-20 20:14:21,387 INFO    MainThread:9577 [wandb_init.py:init():439] calling init triggers
2022-03-20 20:14:21,387 INFO    MainThread:9577 [wandb_init.py:init():442] wandb.init called with sweep_config: {}
config: {}
2022-03-20 20:14:21,387 INFO    MainThread:9577 [wandb_init.py:init():492] starting backend
2022-03-20 20:14:21,387 INFO    MainThread:9577 [backend.py:_multiprocessing_setup():99] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-03-20 20:14:21,395 INFO    MainThread:9577 [backend.py:ensure_launched():219] starting backend process...
2022-03-20 20:14:21,397 INFO    MainThread:9577 [backend.py:ensure_launched():224] started backend process with pid: 9587
2022-03-20 20:14:21,397 INFO    MainThread:9577 [wandb_init.py:init():501] backend started and connected
2022-03-20 20:14:21,399 INFO    MainThread:9577 [wandb_init.py:init():565] updated telemetry
2022-03-20 20:14:21,400 INFO    MainThread:9577 [wandb_init.py:init():596] communicating run to backend with 30 second timeout
2022-03-20 20:14:22,153 INFO    MainThread:9577 [wandb_run.py:_on_init():1759] communicating current version
2022-03-20 20:14:22,445 INFO    MainThread:9577 [wandb_run.py:_on_init():1763] got version response 
2022-03-20 20:14:22,445 INFO    MainThread:9577 [wandb_init.py:init():625] starting run threads in backend
2022-03-20 20:14:23,591 INFO    MainThread:9577 [wandb_run.py:_console_start():1733] atexit reg
2022-03-20 20:14:23,592 INFO    MainThread:9577 [wandb_run.py:_redirect():1606] redirect: SettingsConsole.REDIRECT
2022-03-20 20:14:23,592 INFO    MainThread:9577 [wandb_run.py:_redirect():1611] Redirecting console.
2022-03-20 20:14:23,593 INFO    MainThread:9577 [wandb_run.py:_redirect():1667] Redirects installed.
2022-03-20 20:14:23,593 INFO    MainThread:9577 [wandb_init.py:init():664] run started, returning control to user process
2022-03-20 20:14:23,593 INFO    MainThread:9577 [wandb_run.py:_config_callback():992] config_cb None None {'output_path': None, 'seed': 0, 'lr': 0.001, 'batch_size': 32, 'epochs': 100, 'env_name': 'cifar10_env', 'save_epochs': False, 'device': 'cuda'}
2022-03-20 20:14:28,189 INFO    MainThread:9577 [wandb_run.py:_atexit_cleanup():1702] got exitcode: 255
2022-03-20 20:14:28,189 INFO    MainThread:9577 [wandb_run.py:_restore():1674] restore
